stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
Laranjeiro (Avª 23 Julho) Fte TST,11_769,38.6510357029972,-9.15306041833466,data_tst,769
Laranjeiro (Avª 23 Julho) Stand Ventura,11_1336,38.6642023049812,-9.15977710136031,data_tst,1336
Laranjeiro (Avª 23 Julho) TST,11_768,38.6510248840114,-9.15305719962098,data_tst,768
Laranjeiro (Pça Lopes Graça Fte 13B),11_3190,38.6541222801076,-9.15449517421056,data_tst,3190
Laranjeiro (R Bento Jesus Caraça 33A),11_3187,38.6554362083185,-9.14948220267015,data_sul_fertagus,3187
Laranjeiro (R Bento Jesus Caraça 48),11_3188,38.653779393923,-9.14733867628464,data_sul_fertagus,3188
Laranjeiro (R Bento Jesus Caraça 55),11_3189,38.65403208088,-9.14752470508772,data_sul_fertagus,3189
Laranjeiro (R Borges Rego Fte 7A) Past O Sandro,11_3191,38.6549822241941,-9.15496049353019,data_tst,3191
Laranjeiro (R Borges Rego) Farmácia Feijó,11_1348,38.6533521281946,-9.15795631127263,data_tst,1348
Laranjeiro (R Borges Rego) Fte Farmácia Feijó,11_1349,38.653143196604,-9.15819243485595,data_tst,1349
Laranjeiro (R Cruz Vermelha 7A) Imobiliária Smile,11_3927,38.660609440958,-9.15819684963118,data_tst,3927
Laranjeiro (R Cruz Vermelha) Escola A Gedeão,11_3928,38.6606498695648,-9.15810898905494,data_tst,3928
Laranjeiro (R D Duarte 14A) Mesquita,11_3193,38.6536942223893,-9.14904787357934,data_sul_fertagus,3193
Laranjeiro (R D Duarte Viv Flôr Bela),11_3192,38.6541350566212,-9.15176230187358,data_sul_fertagus,3192
Laranjeiro (R D José C Melo) Depósito Água,11_1354,38.6609417141745,-9.15490293307482,data_tst,1354
Laranjeiro (R D José C Melo) Portão Marinha,11_1355,38.6588809332328,-9.15449077697774,data_tst,1355
Laranjeiro (R D José C Melo) Rest Flor Minho,11_1356,38.6586637520082,-9.1543954347976,data_tst,1356
Laranjeiro (R D Manuel 11) antigo Mercado,11_3195,38.654597933798,-9.15264303498726,data_sul_fertagus,3195
Lau (EM 533) (X),11_2816,38.6036275519892,-8.82165603739896,data_tst,2816
Lau (EM 533) (X) R Américo Alegria,11_2820,38.6016254641245,-8.80371491906016,data_tst,2820
Lau (EM 533) (X) R Antonio Serafim,11_2814,38.5969736515263,-8.83502571795591,data_tst,2814
Lau (EM 533) (X) R Custodio Simões,11_2815,38.5998975176971,-8.82927068552586,data_tst,2815
Lau (EM 533) (X) R João Fernandes,11_2824,38.599902178381,-8.82926141402634,data_tst,2824
Lau (EM 533) (X) R Vitor Inácio,11_2825,38.5969683337478,-8.83503633573122,data_tst,2825
Lau (EM 533) (X) R Xavier Santana,11_2821,38.6025088803316,-8.81140117039086,data_tst,2821
Lau (EM 533) Associação Moradores Lau,11_404,38.602824570233,-8.82345156001759,data_tst,404
Lau (EM 533) Fte (X) R Xavier Santana,11_2818,38.602507261674,-8.81138794326205,data_tst,2818
Lau (EM 533) Fte Associação Moradores Lau,11_403,38.6028246078486,-8.82345148017208,data_tst,403
Lau (EM 533) Fte Nutriplanta,11_2822,38.6029047094707,-8.81482727473418,data_tst,2822
Lau (EM 533) Fte R Américo Alegria,11_2819,38.6016228731024,-8.80369072611513,data_tst,2819
Lau (EM 533) Nutriplanta,11_2817,38.602892360358,-8.81472401335922,data_tst,2817
Lavra - Lg. Anunciada,1_1012,38.717845,-9.14178,data_carris,1012
Lavra - R. Câmara Pestana,1_1013,38.718659,-9.14013,data_carris,1013
Lavradio,11095042,38.66198,-9.0587,data_cp,11095042
Lavradio (Alameda Ary Santos) Rotunda,11_3785,38.6623742211755,-9.0537094659028,data_tst,3785
Lazarim (EN 10-1) (X) Costa (Colégio Campo Flores),11_1360,38.647427586321,-9.20217356677369,data_tst,1360
Lazarim (EN 10-1) (X) Costa (Fte Colég Campo Flore,11_1361,38.6473891837049,-9.20164998920942,data_tst,1361
Lazarim (EN 10-1) (X) Sobreda,11_1359,38.6466562221136,-9.1988371144477,data_tst,1359
Lazarim (EN 10-1) (X) Vale Figueira,11_187,38.64659385106,-9.19822758527262,data_tst,187
Lazarim (EN 10-1) Fte (X) Sobreda,11_1362,38.6469597062446,-9.19875684689313,data_tst,1362
Lazarim (EN 10-1) Fte (X) Vale Figueira,11_186,38.6465930504814,-9.19837930284484,data_tst,186
Lazarim (Fte Café Baute),11_2330,38.6479591830421,-9.20165230265299,data_tst,2330
Lazarim (Pilotos) (EN 10-1) Fte Viv Luisa Renata,11_1363,38.6474617136389,-9.20643835863754,data_tst,1363
Lazarim (Pilotos) (EN 10-1) Oficina Rep Automóvel,11_1364,38.64745733937,-9.20645324457706,data_tst,1364
Lazarim (Qta Regateira 15),11_2331,38.6385124259464,-9.20201382389481,data_tst,2331
Lazarim (R S Macário 772) Qta S Francisco,11_2255,38.6461479300813,-9.1994203634291,data_tst,2255
Lazarim (R S Macário Fte 772) Qta S Francisco,11_2335,38.6461941155742,-9.19939880816118,data_tst,2335
