Regions,early_dependence_index_1960,early_depedence_index_1981,early_dependence_index_2001,early_dependence_index_2011
Faro,14.1,19.4,22.8,26.8
Lagoa,15.2,22.6,22.8,26.8
Lagos,15.9,22.2,27.7,29.3
Loulé,17.9,29.7,27.9,29.2
Monchique,16.6,30.6,47.2,54.2
Olhão,15.2,23.2,25.2,26.9
Portimão,13.8,19.9,25.5,27.8
São Brás de Alportel,19.9,32.9,34.5,35.3
Silves,15.4,28.3,35.3,35.3
Tavira,18.6,28.6,36.5,37.9
Vila do Bispo,19.8,31.1,35.4,39
Vila Real de Santo António,14,20.2,25.6,30.4
Região Autónoma dos Açores,11.1,19.1,19.7,19
Região Autónoma dos Açores,11.1,19.1,19.7,19
Ilha de Santa Maria,8.3,16.9,18.8,18.5
Vila do Porto,8.3,16.9,18.8,18.5
Ilha de São Miguel,9.8,15.8,16.6,15.8
Lagoa [R.A.A.],9.6,13.8,13.9,14.5
Nordeste,12,23.9,28.7,27.4
Ponta Delgada,9.5,14.5,16.1,16.1
Povoação,10.5,20.5,22.5,21.2
Ribeira Grande,9.3,16,15.1,12.6
Vila Franca do Campo,10.4,16.2,18.4,16.9
Ilha Terceira,10.7,18.5,20.7,20.7
Angra do Heroísmo,11.6,19.6,21.6,21.4
Vila da Praia da Vitória,9.1,16.8,19.1,19.5
Ilha Graciosa,14.2,29.4,34.4,30.7
Santa Cruz da Graciosa,14.2,29.4,34.4,30.7
Ilha de São Jorge,12.8,26,27.2,28.7
Calheta [R.A.A.],12.4,23.8,28.2,30.6
Velas,13.1,27.6,26.4,27.4
Ilha do Pico,15.8,30,29.7,29.8
Lajes do Pico,16.7,28.9,30.4,33.9
Madalena,14.7,30.9,29.9,27.3
São Roque do Pico,16.3,30.2,28.6,28.9
Ilha do Faial,15.5,26.8,22.3,22.2
Horta,15.5,26.8,22.3,22.2
Ilha das Flores,12,31.2,27.4,27.2
Lajes das Flores,12,36.4,30.8,28.3
Santa Cruz das Flores,12.1,27.3,25.5,26.5
Ilha do Corvo,15.6,30.6,27.9,23.8
Corvo,15.6,30.6,27.9,23.8
Região Autónoma da Madeira,11.1,17.8,20.4,21.7
Região Autónoma da Madeira,11.1,17.8,20.4,21.7
Ilha da Madeira,11.1,17.9,20.5,21.8
Calheta [R.A.M.],15.1,32.7,34.4,35.7
Câmara de Lobos,9.2,13.1,13.5,14.6
Funchal,10.5,15.4,20.2,23.1
Machico,10.1,14.9,16.7,20.2
Ponta do Sol,13.1,29.7,27.8,29.4
Porto Moniz,11.8,28,39.1,39.4
Ribeira Brava,11.6,25,25.3,25.4
Santa Cruz,11.3,20.5,16.4,14.1
Santana,10.9,18.6,31.7,37.4
São Vicente,11,21.3,32.5,35.8
Ilha de Porto Santo,12.1,12.5,14.5,18.6
Porto Santo,12.1,12.5,14.5,18.6
